,Название,Фандомы,Автор,Пейринг и персонажи,Жанр,Все теги,Теги 18+,Возрастное ограничение,Статус,Лайки,Отзывы,В сборник,Размер,Описание,Посвящение,Примечания автора,Публикация на других ресурсах,Горячая работа
1131,Притворство. Элементалист.,['Клуб Романтики: Секрет небес'],['Elementalist Maria'],"['Люцифер/Вики Уокер', 'Мими/Дино', 'Мальбонте/Вики Уокер', 'Ребекка Уокер/Адмирон Винчесто', 'Ади/Сэми']",Смешанная,"['AU', 'Hurt/Comfort', 'Алкоголь', 'Ангелы', 'Второстепенные оригинальные персонажи', 'Демоны', 'Дружба', 'Курение', 'Любовь/Ненависть', 'На грани жизни и смерти', 'Намеки на отношения', 'Намеки на секс', 'Насилие', 'Нецензурная лексика', 'Отклонения от канона', 'Плохой хороший финал', 'Повествование от первого лица', 'Рейтинг за насилие / Рейтинг за жестокость', 'Рейтинг за секс', 'Романтика', 'Токсичные родственники', 'Убийства', 'Упоминания измены', 'Упоминания курения', 'Упоминания убийств']","['Алкоголь', 'Курение', 'Насилие', 'Нецензурная лексика', 'Рейтинг за насилие / Рейтинг за жестокость', 'Рейтинг за секс']",NC-17,В процессе,3,1,0,"планируется Макси, написано                                                12 страниц,
                                                2 части","Она не обычная непризнанная, она демон - сильнейший демон. Но как ей теперь жить новой жизнью, когда столько всего свалилось? Какого это обрести такую силу и как с ней справится ?
Жизнь сложная, запутанная штука.
Порой судьба подкидывает нам испытание. На долю Вики Уокер испытание выпало не из лёгких. Справится ли она, оправдает ли она надежды вновь обретённых родителей ? Сможет ли совладать с чувствами к столь сложному Люциферу ?",,"Ребята, это моя первая работа, очень старалась. Начало давалось тяжело, хотя сюжет давно крутился в мыслях, надеюсь я найду своих читателей. Приму любую критику, не стесняйтесь указывать на ошибки. Всех обняла <3
Публичная бета включена. Главы постараюсь выпускать раз в 2 дня.",Разрешено только в виде ссылки,False
1132,Просто прихоть,['Ходячие мертвецы'],['flower of lies'],['Бет Грин/Дэрил Диксон'],Гет,"['AU', 'PWP', 'Underage', 'Драма', 'Любовь/Ненависть', 'Насилие', 'Нецензурная лексика', 'ООС', 'Отклонения от канона', 'Развитие отношений', 'Разница в возрасте', 'Романтика', 'Сложные отношения', 'Смерть второстепенных персонажей']","['PWP', 'Underage', 'Насилие', 'Нецензурная лексика']",NC-17,В процессе,37,11,6,"планируется Миди, написано                                                13 страниц,
                                                3 части","Дэрил напоминал Бет бродячего пса, который прибился к их группе: угрюмый одиночка, с недоверием взирающий на окружающих, готовый в случае чего, оскалить зубы и вцепиться в глотку любому. Таких надо держать не на поводке, а на цепи. Казалось, протяни руку, чтобы его погладить - он откусит её по локоть. Для Бет же это был вызов, она вознамерилась его приручить — просто прихоть, но будь она проклята, если не сделает его послушным...для себя. Главное, чтобы во время дрессировки самой остаться целой.",,"История будет местами отклоняться от основных событий сериала, местами будет совпадать. Дэрил здесь далеко не няша, а именно взрывной гадёныш из первых сезонов.",Уточнять у автора/переводчика,False
1133,Она дивергент|Finn Wolfhard,"['Finn Wolfhard', 'Millie Bobby Brown', 'Noah Schnapp']",['Liza. Wolfhard'],[],Гет,"['Ангст', 'Драма', 'Любовь/Ненависть', 'Насилие', 'Нецензурная лексика', 'ОЖП', 'Первый раз', 'Повествование от первого лица', 'Повседневность', 'Психология', 'Романтика', 'Фэнтези', 'Юмор']","['Насилие', 'Нецензурная лексика']",NC-17,В процессе,0,0,0,"планируется Макси, написано                                                34 страницы,
                                                4 части","О, смотрите ка что это тут делает наша тронутая Трисс. Думаешь пройти в отбор?? Хаха не смеши меня Ноа она станет изгоем! ",,,Уточнять у автора/переводчика,False
1134,Аристократия,['Ориджиналы'],['agent_fait'],[],Джен,"['Underage', 'Антигерои', 'Аристократия', 'Борьба за отношения', 'Будущее', 'Военные', 'Война', 'Воспоминания', 'Вымышленные праздники', 'Горе / Утрата', 'Доверие', 'Драма', 'Жестокость', 'Кровь / Травмы', 'Люди', 'Магический реализм', 'Метки', 'Мироустройство', 'Наемные убийцы', 'Насилие', 'Научная фантастика', 'Научное фэнтези', 'Нелинейное повествование', 'Ненадежный рассказчик', 'От злодея к герою', 'Повествование от первого лица', 'Политические интриги', 'Полукровки', 'Приключения', 'Прогрессорство', 'Прошлое', 'Псевдоисторический сеттинг', 'Психология', 'Раскрытие личностей', 'Романтика', 'Сверхспособности', 'Семейные тайны', 'Социальная фантастика', 'Спасение жизни', 'Становление героя', 'Тайны / Секреты', 'Темное прошлое', 'Темный романтизм', 'Фантастика', 'Фэнтези', 'Экшн', 'Элементы детектива']","['Underage', 'Жестокость', 'Насилие']",NC-17,В процессе,1,0,0,"планируется Макси, написано                                                76 страниц,
                                                16 частей","Страна, возникшая в результате Великой кровавой революции и построенная на костях миллионов простых людей, готовится к новому удару со стороны вассалитета. Мы едины, мы созданы для того, чтобы защитить тех, кто поверил в нас. Наша сила свята, а наша неоспоримая власть существует для того, чтобы обыватели спали спокойно. Я должна быть такой, какой нужно этому обществу. Для этого мой наставник, мой командир иногда говорит мне: ""Подумай, достойна ли ты своей власти?""",,Текст не несет в себе цели оскорбить кого-либо. Все персонажи вымышлены. События взяты из моих снов.,Разрешено копирование текста с указанием автора/переводчика и ссылки на исходную публикацию,True
1135,Начать жизнь заново,['Ориджиналы'],['_Lukiny_'],[],Джен,"['Аддикции', 'Даб-кон', 'Изнасилование', 'Курение', 'Насилие', 'Нецензурная лексика', 'Повествование от первого лица', 'Психологическое насилие', 'Смерть основных персонажей', 'Философия', 'Элементы слэша']","['Даб-кон', 'Изнасилование', 'Курение', 'Насилие', 'Нецензурная лексика']",NC-17,В процессе,331,98,14,"планируется Макси, написано                                                236 страниц,
                                                21 часть","Что делать, если твои родители не дают тебе права выбора? Что делать, если ты занимаешься совершенно не тем, чем хочешь, а лишь выполняешь чье-то требование? Что делать, если вся твоя жизнь - сплошной диктат? Диктат, который становится тиранией и самым страшным кошмаром.
Ответ может быть только один - начать жизнь заново. ",,"Жанры, предупреждения и пейринг пока не обозначаю до конца. Я хрен знает, че тут будет за дичь дальше. 
____________________
Так, для тех, кто читал с далекого 2017 года поясняю: я убрала направленность, поставив ее на джен, потому что пока отношениями тут и не пахнет, и черт его знает, будет ли. 
пока так, как всегда, выставляю все, по мере написания.",Уточнять у автора/переводчика,True
1136,Lynnwood,['Ориджиналы'],['Fansters'],[],Смешанная,"['Алкоголь', 'Ангст', 'Драма', 'Изнасилование', 'Курение', 'Насилие', 'Смерть второстепенных персонажей', 'Убийства', 'Упоминания наркотиков']","['Алкоголь', 'Изнасилование', 'Курение', 'Насилие', 'Упоминания наркотиков']",NC-17,Заморожен,2,0,1,"21 страница,
                                                5 частей","Жизнь полна неожиданностей. И поверь, для тебя в ней найдется немало сюрпризов. Сегодня ты тот, кто ты есть, а завтра приходится играть совершенно неподходящие тебе роли с целью защитить себя от внешнего мира и, конечно, людей. Судьба вообще вещь интересная: сейчас на тебя случайно свалилась глыба, а через месяц ты скинешь глыбу на кого-то еще. Случайности не случайны - как банально - но в этом вся истина.",,Может быть упоминание или даже попытка суицида!,Уточнять у автора/переводчика,True
1137,Маски,['Tiny Bunny'],['000Sunflower000'],[],Гет,"['1990-е годы', 'AU: Школа', 'Алкоголь', 'Горе / Утрата', 'Депрессия', 'Драки', 'Драма', 'Кровь / Травмы', 'Курение', 'Мистика', 'Насилие', 'Ненависть', 'Нецензурная лексика', 'ОЖП', 'Повседневность', 'Подростки', 'Психологические травмы', 'Романтика', 'Россия', 'Селфхарм', 'Слухи / Сплетни', 'Сожаления', 'Стёб', 'Юмор']","['Алкоголь', 'Курение', 'Насилие', 'Нецензурная лексика', 'Селфхарм']",R,В процессе,12,7,4,"планируется Миди, написано                                                35 страниц,
                                                5 частей","-Только я заставлю ее улыбаться, слышишь?! 

",,"Легкое отклонение от канона (в виде намеков на современность). Работа выполнена на ноутбуке, заранее приношу извинения за пунктуационные и орфографические ошибки. Приятного прочтения.",Уточнять у автора/переводчика,False
1138,"Моя любовь ,совсем другая...",['Bungou Stray Dogs'],['d.d.darlingg'],['ОЖП/Осаму Дазай'],Гет,"['Изнасилование', 'Инцест', 'Насилие', 'Нецензурная лексика', 'Отклонения от канона', 'Повествование во втором лице', 'Упоминания наркотиков', 'Элементы драмы']","['Изнасилование', 'Инцест', 'Насилие', 'Нецензурная лексика', 'Упоминания наркотиков']",NC-17,В процессе,1,0,0,"планируется Мини, написано                                                2 страницы,
                                                1 часть","Вообще да, здесь инцест и все дела, невзаимная любовь к братцу и насилие с его стороны, вообщем да... ",,,Уточнять у автора/переводчика,False
1139,Академия вампиров,"['Академия вампиров', 'BlackPink']",['Camila_brown'],[],Фемслэш,"['AU', 'Hurt/Comfort', 'Драма', 'Любовь/Ненависть', 'Насилие', 'Нецензурная лексика', 'ОЖП', 'Повествование от первого лица', 'Повседневность', 'Романтика', 'Фэнтези']","['Насилие', 'Нецензурная лексика']",NC-21,В процессе,5,0,1,"планируется Миди, написано                                                19 страниц,
                                                4 части","Большинству из нас не известно, что там, где-то в Америке находится настоящая Академия, где  вампиры обучаются искусству магии. Также не кто не знает, что на данный моменты в мире идут войны между вампирами, что расе мороев противостоит жестокие и кровожадные стригои. ",,"Эта работа создана по мотивам знаменитого фильма ""Академия вампиров"". Здесь будут внесены небольшие изменения в сюжет фильма. Также изменены герои: Роза-Т/И, Лисса-Джису.",Уточнять у автора/переводчика,False
1140,Последняя кнопка 3. Спасение и откровение,"['TheBrianMaps', 'Последняя кнопка 2']",['ff.actimel13'],['Ботан/Оливия'],Гет,"['Hurt/Comfort', 'Драки', 'Мистика', 'Насилие', 'От друзей к возлюбленным', 'Спасение жизни', 'Спасение мира', 'Счастливый финал', 'Товарищи по несчастью', 'Флафф', 'Частичный ООС', 'Экшн']",['Насилие'],R,В процессе,0,0,0,"планируется Миди, написано                                                2 страницы,
                                                1 часть","Одним из выживших персонажей вселенной Брайна в ""Последней кнопке 2"" стал Чувак в жёлтой толстовке. А что, если используя свою способность перемещаться в пространстве и времени, он сможет повернуть его вспять и спасти Брайна от одиночества, а его друзей от смерти?",,"Заранее извиняюсь, если фанфики с похожим сюжетом уже существуют. Эта теория показалась мне довольно интересной, и именно она вдохновила меня на написание данного фанфика🙂",Уточнять у автора/переводчика,False
1141,Do You Know What Eternity Is?,"['Пратчетт Терри, Гейман Нил «Добрые предзнаменования» (Благие знамения)', 'Благие знамения (Добрые предзнаменования)']",['Avasonta'],[],Другие виды отношений,"['Алкоголь', 'Временная смерть персонажа', 'Депрессия', 'Домашнее насилие', 'Заболевания', 'Измена', 'Кровь / Травмы', 'Ксенофобия', 'Манипуляции', 'Насилие', 'Небинарные персонажи', 'Нецензурная лексика', 'Панические атаки', 'Принудительный брак', 'Рабство', 'Расизм', 'Ссоры / Конфликты', 'Упоминания каннибализма', 'Упоминания пыток', 'Флирт', 'Харассмент']","['Алкоголь', 'Насилие', 'Нецензурная лексика', 'Упоминания каннибализма']",Перевод,PG-13,48,8,15,"планируется Макси, написано                                                146 страниц,
                                                63 части","Азирафель нахмурился.
— Возможно. Тогда, как ты говоришь, если тебя развоплотить, то искушений будет еще больше?
— Именно это я и хочу сказать. Не говоря уже о том, что они будут лучше, еще эффективней. И, возможно, более насильственными. Многие демоны наслаждаются подобным.
— А ты нет? — тихо спросил Азирафель.
— О, — Кроли моргнул. — Эм… Нет, я имею в виду, мне нравится насилие. Мно-ого насилия, ага. Все это. Крики. Эм…
— В самом деле, — ответил Ангел.
Благословите его.",,,Уточнять у автора/переводчика,False
1142,Наконец-то Лёню полюбили...,['Ориджиналы'],['Мацури Отто'],[],Слэш,"['Драма', 'Дружба', 'Любовь/Ненависть', 'Насилие', 'ОЖП', 'ООС', 'Повествование от первого лица', 'Повседневность', 'Романтика', 'Смерть основных персонажей', 'Флафф']",['Насилие'],NC-17,В процессе,0,0,0,"планируется Миди, написано                                                2 страницы,
                                                1 часть",История одной девочки Илоны... ,,Выдумка.,Уточнять у автора/переводчика,False
1143,Ночной охотник,"['Marvel Comics', 'Мстители', 'Сорвиголова']",['Comrad Wolf'],['ОМП/Шерон Картер (Агент 13)/Фелиция Харди (Чёрная Кошка)'],Гет,"['AU', 'Hurt/Comfort', 'Жестокость', 'Насилие', 'Нецензурная лексика', 'ОМП', 'ООС', 'Повествование от первого лица', 'Психология', 'Романтика', 'Фантастика', 'Экшн']","['Жестокость', 'Насилие', 'Нецензурная лексика']",NC-17,В процессе,64,19,11,"планируется Макси, написано                                                129 страниц,
                                                26 частей","Что самое не приятное в смерти? Сам её факт? Или то, что человек которого ты любил стоит над тобой с окровавленным ножом и в её глазах читается лишь чистое отвращение. А любил ли её я? Кто она? Кто я? На эти вопросы я не могу дать ответы даже самому себе, разрываемый с детства реалистичными кошмарами, неспеша проживая свою жизнь в этом гендерном аду. Это Марвел-11, детка.",,"Просто творческий полёт фанеры над Парижем(нет), свои мысли и идеи. Опыта в письме как таковой нет, так что прошу, не бейте, ну или бейте, только не ногами!",Уточнять у автора/переводчика,False
1144,Если умирать то только вдвоем,['Måneskin'],['Твоя_Мамочка_'],['ОЖП /Виктория Де Анджелис'],Фемслэш,"['Алкоголь', 'Драббл', 'Дружба', 'Любовь/Ненависть', 'Насилие', 'Нецензурная лексика', 'ОЖП', 'Романтика', 'Упоминания наркотиков']","['Алкоголь', 'Насилие', 'Нецензурная лексика', 'Упоминания наркотиков']",NC-21,В процессе,0,0,0,"планируется Мини, написано                                                3 страницы,
                                                2 части","Девочка которая решила что всё её проблемы уйдут в месте с городом но она глубоко ошибалась, все её проблемы только начались.
Я посмотрела вверх на меня смотрела красивая девушка лет 20, блондинка среднего роста, её глаза были выделены чёрным цветом, она смотрела на меня своими голубыми глазами, с под больших чёрных ресниц.",,,Уточнять у автора/переводчика,False
1145,Пошатнись в своих убеждениях,['Shingeki no Kyojin'],"['Darkoss Zlo', 'Ardellia']",['Леви Аккерман/Микаса Аккерман'],Гет,"['AU', 'ER', 'Ангст', 'Беременность', 'Боль', 'Временная смерть персонажа', 'Драма', 'Дружба', 'Канонная смерть персонажа', 'Любовь/Ненависть', 'Насилие', 'Нецензурная лексика', 'ОЖП', 'ОМП', 'ООС', 'Романтика', 'Смерть второстепенных персонажей', 'Упоминания войны']","['Насилие', 'Нецензурная лексика']",NC-17,В процессе,178,162,59,"планируется Макси, написано                                                109 страниц,
                                                18 частей","Каждый неверный шаг - может лишить тебя жизни. Но что, если этих ошибок не избежать. Сколько раз нужно начинать жизнь с чистого листа, и давать обещания, которые ты не в силах исполнить? Сколько раз тебя будут предовать, а может предатель это - ты? А если конец не наступит уже никогда...",,"Хочу рассказать о некоторых деталях данного фика:
1. Некоторые события и действия будут идти не по канону или манге.
2. Некоторые персонажи не погибнут как в аниме или манге.
3. Возраст некоторых героев также может быть кое-где  переделан (иногда автор делал это намеренно).
4. В начале работы Микасе - 16, Леви - 27).
5. Первое название фф - ""За ложь всегда надо платить"".

ПБ для всех открыта. Если увидите ошибки, можете их отмечать)))  
Отношусь к любой критике нормально, так что пишите так как думаете.

Так же хочу отдельно поблагодарить тех, кто со мной с самого начала этого фанфика и проходят все творческие кризисы со мной. Говорю вам отдельное большое спасибо) 

Большое спасибо вам всем за 150 ваших оценок ""нравится"".
Всех люблю)))",Разрешено только в виде ссылки,False
1146,Что со мной не так?!?!,"['Madness Combat', ""Friday Night Funkin'"", 'Жуткий месяц']","['DJONIFER days', 'MAGICAL_EPIC', 'Девочка с мелким подвохом', 'Печенька74']","['Girlfriend /Boyfriend', 'Pico/Boyfriend']",Смешанная,"['Анальный секс', 'Жестокость', 'Курение', 'Минет', 'Наемники', 'Насилие', 'Нецензурная лексика', 'Рейтинг за секс', 'США']","['Анальный секс', 'Жестокость', 'Курение', 'Минет', 'Насилие', 'Нецензурная лексика', 'Рейтинг за секс']",NC-17,В процессе,27,78,0,"планируется Миди, написано                                                13 страниц,
                                                13 частей","Кейт он же бойфренд: в первых 2 частях становится жертвой рыжика! В последующих частях каком-то всмысле он доверяет пико . ( и он карлик)
Пико : наёмник любящий мучить своих жертв. В конце он становится кейту больше 
Лина, Ли она же girlfriend: (тут всё более интересно) она рождена демоном под прикрытием.  Её родители дирест и мирест очень строги и не разрешают гулять до 20.00 . Они просто боятся за свою дочку , на самом деле они хорошие слушатели и очень манервные,  от них никогда не плохи...",,"Прошлую мою работу удалили из-за черезмерного мата туда и сюда ! 
Теперь учусь на ошибках",Разрешено в любом виде,False
1147,Серые краски с блёстками,['Genshin Impact'],['Alypia'],"['Кэйа Альберих/Люмин', 'Сяо/Итэр', 'Рэйзор/Эмбер', 'Дилюк Рагнвиндр/Венти']",Смешанная,"['AU: Школа', 'Underage', 'Алкоголь', 'Ангст', 'Курение', 'Насилие', 'Нецензурная лексика', 'ООС', 'Повседневность', 'Психологические травмы', 'Смерть второстепенных персонажей', 'Упоминания наркотиков', 'Упоминания самоубийства']","['Underage', 'Алкоголь', 'Курение', 'Насилие', 'Нецензурная лексика', 'Упоминания наркотиков']",R,В процессе,1,0,0,"планируется Мини, написано                                                5 страниц,
                                                1 часть","Старшая школа бывает безжалостна по отношению к новым ученикам. Молись всем богам, чтобы тебя приняли в коллектив и ты сумел завести себе друзей. Близнецы молились всю среднюю школу, чтобы их новый этап в жизни прошёл как по маслу. И возможно боги их услышали, но правильно ли? ",,Идея давно жила в голове.,Уточнять у автора/переводчика,False
1148,"Сегодня НЕ увидишь своего мужа, нагито-кун💕","['Danganronpa: Trigger Happy Havoc (Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei)', 'Danganronpa 2: Goodbye Despair', 'DanganronpaV3:killing Harmory']",['Lol_lolopik'],"['Кайто Мамото/Нагито Комаэда', 'Нагито Комаэда/Хаджимэ Хината', 'Кокичи Ома/Нагито Комаэда', 'Нагито Комаэда/Кайто Мамото/Кокичи Ома']",Другие виды отношений,"['AU', 'Hurt/Comfort', 'Ангст', 'Временная смерть персонажа', 'Драма', 'Засосы / Укусы', 'Любовь/Ненависть', 'Мастурбация', 'Минет', 'Насилие', 'Нецензурная лексика', 'Семьи', 'Смерть основных персонажей', 'Течка / Гон', 'Яндэрэ']","['Мастурбация', 'Минет', 'Насилие', 'Нецензурная лексика', 'Течка / Гон']",NC-17,В процессе,5,3,1,"планируется Миди, написано                                                6 страниц,
                                                2 части","Заместь казни Кайте Момото дали игровой кубик,после чего его кастрировали на несколько недель. Но половие органи девушки проявили себя,Кайто влюбился в Нагото куна,но он етого не стидился ведь пока он щитаеться натуралом. Но вот незадача у Нагито куна уже есть 1 семья, слэша. Кайто не воспринял такой грубости и решил отомстить,оставив записку в столовой ""Не жди своего мужа,малиш"". Что же будет с бедним хаджиме которий попал под урон яндерки?",,"Момото,поздравляю тебя я пишу фф про нашу ролку 😀💕",Уточнять у автора/переводчика,False
1149,Follia,['Katekyo Hitman Reborn!'],"['Настюха тян', 'Anyon-Minyon']",[],Джен,"['Hurt/Comfort', 'Ангст', 'Драма', 'Мистика', 'Насилие', 'Нецензурная лексика', 'Рейтинг за насилие / Рейтинг за жестокость', 'Смерть второстепенных персонажей', 'Ужасы', 'Частичный ООС']","['Насилие', 'Нецензурная лексика', 'Рейтинг за насилие / Рейтинг за жестокость']",NC-17,В процессе,42,69,19,"планируется Макси, написано                                                174 страницы,
                                                17 частей","Раз в десять лет иллюзионисты теряют контроль над кольцом ада и впадают в некое состояние безумия на три дня. Если успокоить тех не получается, мафиози используют вакцину. Ликура - вакцина способная усмирить обезумевшего иллюзиониста. Применять ее рекомендуется только в крайне безвыходной ситуации, так как после использования возможна смерть самого иллюзиониста. Как же поступит Вария столкнувшись с этой проблемой?",,,Уточнять у автора/переводчика,False
1150,"""One love,one story""/ ""Одна любовь, одна история""",['Егор Крид (ex.KReeD)'],['T_KP_4'],['Егор Булаткин/ОЖП'],Гет,"['Алкоголь', 'Драма', 'Изнасилование', 'Любовь/Ненависть', 'Насилие', 'Несчастливый финал', 'Нецензурная лексика', 'ОЖП', 'Повседневность', 'Романтика']","['Алкоголь', 'Изнасилование', 'Насилие', 'Нецензурная лексика']",NC-17,В процессе,1,2,1,"планируется Миди, написано                                                10 страниц,
                                                4 части","Способна ли любовь разрушить все на своем пути? Даже стену ненависти,которая строилась годами!? Он думал, что знает о любви все. Он был уверен,что на протяжении 2 лет у него чистая любовь. Но,он слишком доверчив. Он добрый,искренний,и этим просто пользуются. После очередного предательства,он закрылся.Он потерял веру,что когда-нибудь опять полюбит. Работа стала для него всем.Он под тонной масок скрывает настоящего себя.Но спустя время,он вновь влюбляется,но его угораздило влюбится именно в нее.
",,"Это моя первая работа. Я писала ее 4 года назад в вк и решила здесь дать ей вторую жизнь, возможно получится...
Была вдохновлена треком Егор KReeD - One love, One story.",Уточнять у автора/переводчика,False
1151,Любовь всей искры,['Трансформеры'],"['Бот тян', 'Декарис Люкс 2.0', 'Кейси Логан']",['Оптимус Прайм/ОМП'],Слэш,"['Драма', 'Мужская беременность', 'Насилие', 'Нежный секс', 'Некрофилия', 'ОМП', 'ООС', 'Отклонения от канона', 'Повседневность', 'Пропущенная сцена', 'Психосоматические расстройства', 'Романтика', 'Сайз-кинк', 'Ужасы', 'Флафф']","['Насилие', 'Нежный секс', 'Некрофилия', 'Сайз-кинк']",NC-17,В процессе,77,88,19,"планируется Макси, написано                                                85 страниц,
                                                19 частей","Никто из автоботов не смог смириться с гибелью разведчика, особенно Оптимус. Он с каждой стычкой с десами становился всё яроснее, но однажды произошло то, что заставило его придти в себя.",,,Уточнять у автора/переводчика,False
1152,Осколки времени,['Bangtan Boys (BTS)'],"['Christen Chandller', '_SAHAROKVee_']","['ОЖП/Чон Чонгук', 'ОЖП/dark!Пак Чимин']",Гет,"['AU', 'Hurt/Comfort', 'Ангст', 'Аристократия', 'Беременность', 'Дарк', 'Драма', 'Изнасилование', 'Исторические эпохи', 'Любовь/Ненависть', 'Насилие', 'Нежелательная беременность', 'Нецензурная лексика', 'ОЖП', 'Попаданцы: В своем теле', 'Психологическое насилие', 'Смерть основных персонажей', 'Хронофантастика', 'Элементы мистики']","['Изнасилование', 'Насилие', 'Нецензурная лексика']",NC-21,В процессе,70,49,29,"планируется Макси, написано                                                32 страницы,
                                                4 части","Испокон веков существует множество пророчеств, каждое из которых определяет судьбу человека. Одно из них гласит, что попаданка не должна выжить. Такие здесь не выживают.  Девушке нет места на этой земле. Таким, как она, не найти властного, но доброго покровителя. Нет,не в этой реальности. Ведь однажды ощутив вкус подчинения, трудно остановиться.",,"От автора: Посвящается всем моим прекрасным читательницам. Не бойтесь мечтать и помните, чем выше ваши грезы, тем дальше будет ваш путь.

Я буду благодарена любой критике и отзывам о моей работе. Таким образом я смогу понимать, что книга нравится, и я двигаюсь в правильном направлении. Ведь признание и активность читателей - лучшая мотивация!",Уточнять у автора/переводчика,False
1153,Да как же ты без меня,['Minecraft'],"['Mrs.Maflya9', 'КуСоЧеК ЗеФиРа']",['Херобрин/Стив'],Слэш,"['Выживание', 'Изнасилование', 'Любовь/Ненависть', 'Мужская беременность', 'Насилие', 'Нецензурная лексика', 'Омегаверс', 'Первый раз', 'Разница в возрасте', 'Романтика', 'Сверхспособности', 'Смерть основных персонажей', 'Счастливый финал', 'Фантастика', 'Флафф']","['Изнасилование', 'Насилие', 'Нецензурная лексика']",NC-17,В процессе,114,97,14,"планируется Миди, написано                                                22 страницы,
                                                9 частей",История о жизни Херобрина и Стива.,,"Это мой первый, неопытный фик, постараюсь вас заинтересовать! 
Что на счёт грамоты, я постараюсь много не ошибаться)",Уточнять у автора/переводчика,False
1154,У судьбы нет исключений,['Тайны Смолвиля'],['Екатерина В.'],['Кларк Кент/Лайонел Лютор'],Слэш,"['Hurt/Comfort', 'RST', 'Ангст', 'Драма', 'Канонная смерть персонажа', 'Насилие', 'Обоснованный ООС', 'Отклонения от канона', 'Повседневность', 'Упоминания алкоголя', 'Упоминания инцеста', 'Упоминания курения', 'Фантастика', 'Характерная для канона жестокость', 'Частичный ООС']","['Насилие', 'Характерная для канона жестокость']",NC-17,В процессе,0,0,0,"планируется Макси, написано                                                34 страницы,
                                                6 частей","История Кларка Кента, влюбившегося в совершенно не подходящего для него человека по всем критериям.",,"• Увидев пэйринг - не пугайтесь. Всё будет очень красиво и романтично, впрочем как всегда, как и во всех других моих работах. 🥰
• Развитие событий начинается с первого сезона.
•••••••••••••••••••••••••••••••••••",Разрешено копирование текста с указанием автора/переводчика и ссылки на исходную публикацию,False
1155,Что такое любовь?,['Tiny Bunny'],['pff_broencrush'],['Антон Петров/Рома Пятифан'],Слэш,"['Алкоголь', 'Кровь / Травмы', 'Курение', 'Насилие', 'Нецензурная лексика', 'Повествование от нескольких лиц', 'Подростки', 'Россия', 'Селфхарм', 'Элементы ангста', 'Элементы драмы', 'Элементы юмора / Элементы стёба']","['Алкоголь', 'Курение', 'Насилие', 'Нецензурная лексика', 'Селфхарм']",R,В процессе,74,27,10,"планируется Миди, написана                                                21 страница,
                                                10 частей","Антон, вступая в банду, даже не думал что начнёт испытывать симпатию к главарю этой банды - Роме.
Что же будет делать Антон? Что ответит на это Рома?",,Опять... Эксперименты,Уточнять у автора/переводчика,False
1156,All rights reserved.,"['EXO - K/M', 'Bangtan Boys (BTS)', 'BlackPink']",['tiagoxix'],"['Мин Юнги/Чон Чонгук', 'Чон Хосок/Ким Тэхён', 'Ким Намджун/Ким Сокджин', 'Ким Дженни/Лалиса Манобан']",Слэш,"['AU', 'Ангст', 'Военные преступления', 'Драма', 'Насилие', 'Омегаверс', 'От злодея к герою', 'Политика', 'Преступный мир', 'Самоопределение / Самопознание', 'Смерть второстепенных персонажей', 'Упоминания смертей', 'Упоминания терроризма', 'Хороший плохой финал', 'Экшн', 'Элементы фемслэша']","['Военные преступления', 'Насилие']",NC-17,Завершён,44,17,12,"205 страниц,
                                                29 частей","«Злой военный уходи,
Свою шайку забери,
Я же старый добрый зверь,
Я не трогаю детей,
Досчитаю до пяти, 
Ты из дома уходи!»

- Чон Чонгук, не бойся, я заберу тебя кое-куда.

мир разделён на множество крупных городов-республик. жизнь в одной из них в одночасье встаёт с ног на голову.
",,"все возможные совпадения в реальными политическими деятелями и событиями предумышленны, но не несут иного смысла, кроме как развлекательного и информативного.

как же я хочу дописать эту работу...",Уточнять у автора/переводчика,False
